protein1,protein2,protein1_cluster,protein2_cluster,cluster_key,sequence_divergence,patristic_distance,tm_score
P005067004171_Drosophila_biarmipes_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7201646090534979,2.546740335,0.87001
P005067004172_Drosophila_biarmipes_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7201646090534979,2.546740335,0.87672
P005070006661_Drosophila_bunnanda_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6888888888888889,2.543199655,0.95458
P005070006662_Drosophila_bunnanda_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6888888888888889,2.543199655,0.86615
P005071004180_Drosophila_busckii_part1_of1,P005071007432_Drosophila_busckii_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6933333333333334,2.038388045,0.92389
P005071007432_Drosophila_busckii_part1_of1,P005071004180_Drosophila_busckii_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6933333333333334,2.038388045,0.92389
P005072008715_Drosophila_elegans_part1_of1,P005072008716_Drosophila_elegans_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.459950829,0.87531
P005072008716_Drosophila_elegans_part1_of1,P005072008715_Drosophila_elegans_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.459950829,0.8821
P005074010565_Drosophila_eugracilis_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7078189300411523,2.472291445,0.89487
P005074010571_Drosophila_eugracilis_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7078189300411523,2.472291445,0.88795
P005076010725_Drosophila_grimshawi_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6896551724137931,2.389374591,0.82425
P005076010744_Drosophila_grimshawi_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6896551724137931,2.389374591,0.79073
P005076010744_Drosophila_grimshawi_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6929460580912863,2.181277564,0.86892
P005076010745_Drosophila_grimshawi_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6929460580912863,2.181277564,0.87562
P005077009626_Drosophila_guanche_part1_of1,P005077011621_Drosophila_guanche_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.296066966,0.86963
P005077011090_Drosophila_guanche_part1_of1,P005077011621_Drosophila_guanche_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.296066966,0.79627
P005077011621_Drosophila_guanche_part1_of1,P005077009626_Drosophila_guanche_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.296066966,0.86309
P005077011621_Drosophila_guanche_part1_of1,P005077011090_Drosophila_guanche_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.296066966,0.85
P005078005510_Drosophila_hydei_part1_of1,P005078006118_Drosophila_hydei_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.691358024691358,2.108086263,0.8801
P005078006118_Drosophila_hydei_part1_of1,P005078005510_Drosophila_hydei_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.691358024691358,2.108086263,0.86367
P005080010494_Drosophila_ironensis_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7111111111111111,2.537632697,0.86939
P005080010494_Drosophila_ironensis_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6926406926406927,2.618986416,0.88348
P005080010499_Drosophila_ironensis_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7111111111111111,2.537632697,0.95883
P005080012110_Drosophila_ironensis_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6926406926406927,2.618986416,0.94957
P005082012188_Drosophila_mauritiana_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7078189300411523,2.454485429,0.88062
P005082012529_Drosophila_mauritiana_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7078189300411523,2.454485429,0.8873
P005083008909_Drosophila_melanogaster_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.456386864,0.87708
P005083008910_Drosophila_melanogaster_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.456386864,0.88387
P005084006084_Drosophila_miranda_part1_of1,P005084006085_Drosophila_miranda_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7119341563786008,2.200756602,0.90907
P005084006085_Drosophila_miranda_part1_of1,P005084006084_Drosophila_miranda_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7119341563786008,2.200756602,0.90209
P005085005288_Drosophila_mojavensis_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.673728813559322,2.114269296,0.80324
P005085005289_Drosophila_mojavensis_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.673728813559322,2.114269296,0.84702
P005086002813_Drosophila_navojoa_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6680497925311204,2.0621011090000003,0.86309
P005086003013_Drosophila_navojoa_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6680497925311204,2.0621011090000003,0.88637
P005087007713_Drosophila_novamexicana_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6804979253112033,2.127617882,0.89245
P005087007760_Drosophila_novamexicana_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6804979253112033,2.127617882,0.87533
P005087007760_Drosophila_novamexicana_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6556016597510373,2.016107063,0.87345
P005087007761_Drosophila_novamexicana_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6556016597510373,2.016107063,0.89047
P005088004783_Drosophila_obscura_part1_of1,P005088004876_Drosophila_obscura_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6995884773662551,2.276014832,0.90432
P005088004876_Drosophila_obscura_part1_of1,P005088004783_Drosophila_obscura_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6995884773662551,2.276014832,0.89749
P005089006354_Drosophila_persimilis_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7119341563786008,2.196803615,0.88514
P005089006356_Drosophila_persimilis_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7119341563786008,2.196803615,0.87846
P005092009946_Drosophila_santomea_part1_of1,P005092009948_Drosophila_santomea_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.490041967,0.86657
P005092009948_Drosophila_santomea_part1_of1,P005092009946_Drosophila_santomea_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.490041967,0.87323
P005093013422_Drosophila_sechellia_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7037037037037037,2.452525159,0.83984
P005093013423_Drosophila_sechellia_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7037037037037037,2.452525159,0.84612
P005095004731_Drosophila_setifemur_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7110091743119267,2.577321088,0.82684
P005095004731_Drosophila_setifemur_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7095435684647302,2.596983814,0.86567
P005095011902_Drosophila_setifemur_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7110091743119267,2.577321088,0.94137
P005095011903_Drosophila_setifemur_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7095435684647302,2.596983814,0.88613
P005099002466_Drosophila_suzukii_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.7172131147540983,2.49276765,0.89251
P005099007453_Drosophila_suzukii_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.7172131147540983,2.49276765,0.88228
P005101009090_Drosophila_teissieri_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.691358024691358,2.466481623,0.86865
P005101009092_Drosophila_teissieri_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.691358024691358,2.466481623,0.87534
P005102009205_Drosophila_virilis_part1_of1,P005102009206_Drosophila_virilis_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6639004149377593,2.042843021,0.87072
P005102009206_Drosophila_virilis_part1_of1,P005102009205_Drosophila_virilis_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6639004149377593,2.042843021,0.88767
P005103011421_Drosophila_willistoni_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,Cluster_1,Cluster_2,Cluster_1_Cluster_2,0.6762295081967213,2.155114706,0.88085
P005103011422_Drosophila_willistoni_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,Cluster_2,Cluster_1,Cluster_1_Cluster_2,0.6762295081967213,2.155114706,0.87088
